,pclass,sex,age,sibsp,parch,fare,survived
738,3,1,17.0,0,1,16.1,1
1004,3,1,15.0,0,0,7.7875,1
582,2,1,12.0,0,0,15.75,1
596,2,0,31.0,0,0,13.0,1
392,2,1,24.0,1,0,27.7208,1
1256,3,0,7.0,1,1,15.2458,1
1244,3,1,16.0,1,1,8.5167,1
362,2,1,35.0,0,0,21.0,1
379,2,1,31.0,1,1,26.25,1
26,1,0,25.0,1,0,91.0792,1
603,3,1,35.0,1,1,20.25,1
188,1,1,51.0,0,1,39.4,1
240,1,0,45.0,0,0,26.55,1
66,1,1,36.0,0,0,262375.0,1
343,2,0,34.0,0,0,13.0,1
1050,3,1,19.0,1,1,15.7417,1
647,3,1,45.0,0,0,7225.0,1
336,2,0,32.0,1,0,26.0,1
1047,3,1,15.0,0,0,7225.0,1
91,1,0,31.0,1,0,57.0,1
523,2,0,22.0,0,0,10.5,1
229,1,1,17.0,1,0,108.9,1
256,1,0,35.0,0,0,26.0,1
1260,3,1,18.0,0,0,9.8417,1
41,1,1,44.0,0,0,27.7208,1
564,2,1,40.0,0,0,13.0,1
621,3,1,19.0,1,0,7.8542,1
428,2,1,24.0,0,2,14.5,1
238,1,1,43.0,0,1,211.3375,1
1004,3,1,15.0,0,0,7.7875,1
298,1,0,31.0,0,0,28.5375,1
282,1,1,52.0,1,0,78.2667,1
778,3,1,30.0,0,0,12475.0,1
458,2,1,17.0,0,0,10.5,1
471,2,1,45.0,0,0,13.5,1
42,1,1,59.0,2,0,51.4792,1
0,1,1,29.0,0,0,211.3375,1
94,1,0,4.0,0,2,81.8583,1
1050,3,1,19.0,1,1,15.7417,1
1187,3,1,1.0,1,1,16.7,1
440,2,1,48.0,1,2,65.0,1
137,1,1,19.0,0,0,30.0,1
559,2,1,20.0,0,0,36.75,1
95,1,1,54.0,1,1,81.8583,1
112,1,1,28.0,3,2,263.0,1
165,1,0,38.0,1,0,90.0,1
78,1,1,64.0,0,2,83.1583,1
333,2,1,36.0,0,0,13.0,1
209,1,0,30.0,1,0,57.75,1
1088,3,0,32.0,0,0,7775.0,1
454,2,0,42.0,0,0,13.0,1
719,3,0,18.0,0,0,8.05,1
909,3,0,32.0,0,0,7925.0,1
342,2,1,36.0,0,3,39.0,1
370,2,1,25.0,1,1,30.0,1
427,2,0,0.6667,1,1,14.5,1
379,2,1,31.0,1,1,26.25,1
76,1,1,39.0,1,1,83.1583,1
572,2,1,28.0,0,0,12.65,1
819,3,1,9.0,0,0,7.75,1
69,1,1,27.0,0,1,55.0,1
1188,3,1,24.0,0,2,16.7,1
657,3,1,0.75,2,1,19.2583,1
117,1,1,30.0,0,0,56.9292,1
165,1,0,38.0,1,0,90.0,1
141,1,1,45.0,0,1,63.3583,1
551,2,1,50.0,0,0,10.5,1
872,3,1,42.0,0,0,8.05,1
521,2,1,29.0,0,0,10.5,1
1003,3,0,15.0,2,0,23.25,1
1060,3,1,18.0,0,0,7775.0,1
90,1,1,27.0,1,2,52.0,1
32,1,1,30.0,0,0,164.8667,1
401,2,1,27.0,1,0,13.8583,1
1088,3,0,32.0,0,0,7775.0,1
309,1,1,31.0,0,2,164.8667,1
350,2,1,15.0,0,2,39.0,1
758,3,0,36.5,1,0,17.4,1
79,1,1,55.0,2,0,25.7,1
144,1,1,25.0,1,0,55.4417,1
14,1,0,80.0,0,0,30.0,1
161,1,1,51.0,1,0,77.9583,1
129,1,1,35.0,0,0,211.5,1
131,1,1,45.0,0,1,59.4,1
845,3,1,24.0,1,0,15.85,1
218,1,1,39.0,0,0,108.9,1
479,2,1,3.0,1,2,41.5792,1
1060,3,1,18.0,0,0,7775.0,1
320,1,0,36.0,0,0,35.5,1
607,3,1,18.0,0,0,7.2292,1
95,1,1,54.0,1,1,81.8583,1
209,1,0,30.0,1,0,57.75,1
693,3,0,21.0,0,0,7.8208,1
798,3,0,18.0,0,0,7.05,1
758,3,0,36.5,1,0,17.4,1
342,2,1,36.0,0,3,39.0,1
187,1,1,16.0,0,1,39.4,1
231,1,0,52.0,0,0,30.5,1
1047,3,1,15.0,0,0,7225.0,1
605,3,0,25.0,0,0,7.65,1
1036,3,1,24.0,0,2,15.2458,1
557,2,1,25.0,0,1,26.0,1
1290,3,1,47.0,1,0,7.0,1
577,2,1,31.0,0,0,21.0,1
73,1,1,22.0,0,0,151.55,1
56,1,0,36.0,1,2,120.0,1
33,1,1,58.0,0,0,26.55,1
29,1,0,28.0,0,0,26.55,1
141,1,1,45.0,0,1,63.3583,1
991,3,0,30.5,0,0,7.2292,1
68,1,0,45.0,0,0,29.7,1
656,3,1,33.0,3,0,15.85,1
560,2,1,30.0,0,0,13.0,1
17,1,1,50.0,0,1,247.5208,1
240,1,0,45.0,0,0,26.55,1
1044,3,1,22.0,0,0,15.5,1
434,2,1,7.0,0,2,26.25,1
1049,3,0,20.0,1,1,15.7417,1
725,3,1,22.0,0,0,7.75,1
746,3,0,29.0,0,0,7.75,1
56,1,0,36.0,1,2,120.0,1
572,2,1,28.0,0,0,12.65,1
783,3,0,24.0,0,0,7.55,1
29,1,0,28.0,0,0,26.55,1
295,1,0,17.0,0,2,110.8833,1
941,3,0,25.0,0,0,7.2292,1
889,3,0,26.0,0,0,7775.0,1
341,2,1,12.0,2,1,39.0,1
867,3,1,22.0,1,1,12.2875,1
76,1,1,39.0,1,1,83.1583,1
79,1,1,55.0,2,0,25.7,1
177,1,0,42.0,1,0,52.5542,1
1026,3,1,27.0,0,1,12475.0,1
317,1,0,21.0,0,1,61.3792,1
119,1,0,50.0,2,0,133.65,1
916,3,1,4.0,0,1,13.4167,1
534,2,1,19.0,0,0,26.0,1
484,2,1,34.0,0,0,10.5,1
207,1,1,33.0,1,0,90.0,1
349,2,1,24.0,0,0,13.0,1
780,3,1,23.0,0,0,8.05,1
759,3,1,36.0,1,0,17.4,1
219,1,0,22.0,0,0,25.7417,1
371,2,1,45.0,0,2,30.0,1
935,3,0,29.0,3,1,22025.0,1
170,1,0,49.0,0,0,0.0,1
67,1,1,30.0,0,0,86.5,1
11,1,1,18.0,1,0,227525.0,1
985,3,0,24.0,0,0,7.1417,1
320,1,0,36.0,0,0,35.5,1
596,2,0,31.0,0,0,13.0,1
874,3,0,30.0,0,0,7.8875,1
613,3,0,26.0,0,0,18.7875,1
1025,3,0,6.0,0,1,12475.0,1
725,3,1,22.0,0,0,7.75,1
785,3,1,22.0,1,0,13.9,1
151,1,0,27.0,0,0,76.7292,1
249,1,0,13.0,2,2,262375.0,1
192,1,1,58.0,0,0,146.5208,1
56,1,0,36.0,1,2,120.0,1
229,1,1,17.0,1,0,108.9,1
353,2,1,20.0,1,0,26.0,1
524,2,0,29.0,0,0,13.8625,1
534,2,1,19.0,0,0,26.0,1
139,1,1,58.0,0,1,153.4625,1
515,2,0,3.0,1,1,26.0,1
97,1,1,27.0,1,1,247.5208,1
1236,3,0,14.0,0,0,9225.0,1
130,1,1,22.0,0,1,59.4,1
553,2,1,21.0,0,0,10.5,1
783,3,0,24.0,0,0,7.55,1
107,1,1,36.0,0,0,31.6833,1
143,1,0,25.0,1,0,55.4417,1
122,1,1,22.0,0,2,49.5,1
119,1,0,50.0,2,0,133.65,1
1028,3,1,34.0,1,0,24.15,1
1001,3,1,15.0,2,0,23.25,1
746,3,0,29.0,0,0,7.75,1
343,2,0,34.0,0,0,13.0,1
489,2,1,42.0,1,0,26.0,1
1048,3,1,1.0,0,2,15.7417,1
1007,3,1,15.0,0,0,8.0292,1
467,2,1,24.0,1,0,26.0,1
935,3,0,29.0,3,1,22025.0,1
1060,3,1,18.0,0,0,7775.0,1
296,1,1,39.0,1,1,110.8833,1
1003,3,0,15.0,2,0,23.25,1
432,2,0,62.0,0,0,10.5,1
734,3,0,3.0,1,1,15.9,1
159,1,1,16.0,0,1,57.9792,1
263,1,1,39.0,1,0,55.9,1
400,2,1,34.0,1,1,32.5,1
95,1,1,54.0,1,1,81.8583,1
155,1,1,52.0,1,1,93.5,1
350,2,1,15.0,0,2,39.0,1
8,1,1,53.0,2,0,51.4792,1
598,2,1,26.0,0,0,13.5,1
465,2,1,23.0,0,0,13.7917,1
1040,3,1,24.0,0,0,7.75,1
187,1,1,16.0,0,1,39.4,1
1258,3,1,29.0,0,2,15.2458,1
471,2,1,45.0,0,0,13.5,1
1286,3,1,38.0,0,0,7.2292,1
167,1,1,35.0,1,0,90.0,1
61,1,1,76.0,1,0,78.85,1
308,1,1,55.0,0,0,135.6333,1
127,1,1,35.0,1,0,53.1,1
479,2,1,3.0,1,2,41.5792,1
1120,3,0,25.0,1,0,7775.0,1
584,2,1,32.5,0,0,13.0,1
253,1,1,48.0,1,3,262375.0,1
536,2,1,32.0,0,0,13.0,1
263,1,1,39.0,1,0,55.9,1
709,3,1,16.0,0,0,7.75,1
349,2,1,24.0,0,0,13.0,1
137,1,1,19.0,0,0,30.0,1
136,1,0,53.0,0,0,28.5,1
436,2,1,45.0,1,1,26.25,1
805,3,0,21.0,0,0,56.4958,1
1048,3,1,1.0,0,2,15.7417,1
111,1,1,24.0,3,2,263.0,1
541,2,1,8.0,1,1,26.0,1
1196,3,0,29.0,0,0,9.5,1
415,2,1,34.0,0,0,13.0,1
50,1,1,58.0,0,1,512.3292,1
916,3,1,4.0,0,1,13.4167,1
1188,3,1,24.0,0,2,16.7,1
88,1,1,33.0,0,0,151.55,1
1048,3,1,1.0,0,2,15.7417,1
379,2,1,31.0,1,1,26.25,1
195,1,1,16.0,0,0,86.5,1
1258,3,1,29.0,0,2,15.2458,1
895,3,1,1.0,1,1,11.1333,1
29,1,0,28.0,0,0,26.55,1
291,1,1,39.0,1,1,79.65,1
122,1,1,22.0,0,2,49.5,1
881,3,0,21.0,0,0,7.7958,1
14,1,0,80.0,0,0,30.0,1
20,1,0,37.0,1,1,52.5542,1
1056,3,0,12.0,1,0,11.2417,1
1187,3,1,1.0,1,1,16.7,1
1006,3,1,15.0,0,0,7.8792,1
542,2,1,33.0,0,2,26.0,1
297,1,1,31.0,0,0,79.2,1
177,1,0,42.0,1,0,52.5542,1
611,3,0,0.8333,0,1,9.35,1
230,1,1,30.0,0,0,93.5,1
483,2,1,34.0,0,0,33.0,1
588,2,1,4.0,1,1,23.0,1
661,3,1,18.0,0,0,8.05,1
870,3,1,27.0,0,0,7925.0,1
304,1,1,60.0,1,0,75.25,1
145,1,0,48.0,1,0,76.7292,1
536,2,1,32.0,0,0,13.0,1
159,1,1,16.0,0,1,57.9792,1
997,3,1,15.0,0,0,7225.0,1
765,3,1,33.0,1,2,20575.0,1
550,2,1,24.0,2,3,18.75,1
121,1,1,22.0,1,0,133.65,1
361,2,1,22.0,1,1,29.0,1
333,2,1,36.0,0,0,13.0,1
298,1,0,31.0,0,0,28.5375,1
905,3,0,32.0,0,0,7.8542,1
14,1,0,80.0,0,0,30.0,1
851,3,1,45.0,1,0,14.1083,1
949,3,0,26.0,0,0,56.4958,1
494,2,1,24.0,1,1,37.0042,1
392,2,1,24.0,1,0,27.7208,1
146,1,1,49.0,1,0,76.7292,1
440,2,1,48.0,1,2,65.0,1
794,3,1,5.0,0,0,12475.0,1
278,1,0,32.0,0,0,30.5,1
558,2,1,18.0,0,2,13.0,1
1261,3,1,63.0,0,0,9.5875,1
342,2,1,36.0,0,3,39.0,1
598,2,1,26.0,0,0,13.5,1
590,2,1,0.9167,1,2,27.75,1
819,3,1,9.0,0,0,7.75,1
12,1,1,24.0,0,0,69.3,1
145,1,0,48.0,1,0,76.7292,1
141,1,1,45.0,0,1,63.3583,1
76,1,1,39.0,1,1,83.1583,1
1033,3,0,24.0,0,0,7775.0,1
260,1,1,40.0,0,0,153.4625,1
1123,3,1,28.0,0,2,22.3583,1
181,1,1,49.0,0,0,25.9292,1
298,1,0,31.0,0,0,28.5375,1
765,3,1,33.0,1,2,20575.0,1
777,3,0,19.0,0,0,8.05,1
514,2,0,2.0,1,1,26.0,1
881,3,0,21.0,0,0,7.7958,1
970,3,0,20.0,1,0,7925.0,1
588,2,1,4.0,1,1,23.0,1
725,3,1,22.0,0,0,7.75,1
297,1,1,31.0,0,0,79.2,1
1061,3,1,26.0,0,0,7.8542,1
465,2,1,23.0,0,0,13.7917,1
1228,3,0,31.0,0,0,7925.0,1
1036,3,1,24.0,0,2,15.2458,1
55,1,1,14.0,1,2,120.0,1
591,2,1,5.0,1,2,27.75,1
465,2,1,23.0,0,0,13.7917,1
134,1,1,71.0,1,0,89.1042,1
949,3,0,26.0,0,0,56.4958,1
370,2,1,25.0,1,1,30.0,1
469,2,1,35.0,0,0,12.35,1
273,1,0,6.0,0,2,134.5,1
582,2,1,12.0,0,0,15.75,1
261,1,0,35.0,0,0,26.2875,1
65,1,1,33.0,1,0,53.1,1
482,2,1,17.0,0,0,12.0,1
139,1,1,58.0,0,1,153.4625,1
1205,3,1,18.0,0,0,7.4958,1
934,3,1,4.0,0,2,22025.0,1
216,1,1,19.0,0,2,26.2833,1
20,1,0,37.0,1,1,52.5542,1
760,3,0,30.0,0,0,9.5,1
160,1,1,44.0,0,1,57.9792,1
709,3,1,16.0,0,0,7.75,1
349,2,1,24.0,0,0,13.0,1
1223,3,1,23.0,0,0,7.55,1
899,3,1,27.0,0,2,11.1333,1
129,1,1,35.0,0,0,211.5,1
1040,3,1,24.0,0,0,7.75,1
980,3,1,23.0,0,0,7.8542,1
427,2,0,0.6667,1,1,14.5,1
167,1,1,35.0,1,0,90.0,1
358,2,1,42.0,0,0,13.0,1
548,2,0,0.8333,1,1,18.75,1
423,2,0,34.0,0,0,13.0,0
1096,3,0,2.0,3,1,21075.0,0
992,3,1,30.5,0,0,7.75,0
1184,3,0,1.0,2,0,21.6792,0
1103,3,0,2.0,4,1,39.6875,0
683,3,0,40.0,1,1,15.5,0
950,3,0,29.0,0,0,9.4833,0
221,1,0,65.0,0,1,61.9792,0
772,3,0,17.0,0,0,7.8958,0
629,3,0,39.0,1,5,31275.0,0
885,3,0,17.0,1,0,7.0542,0
1237,3,0,24.0,0,0,7.7958,0
1193,3,0,29.0,0,0,7725.0,0
150,1,0,40.0,0,0,0.0,0
668,3,0,22.0,0,0,8.05,0
836,3,0,20.0,0,0,9.8458,0
338,2,0,28.0,0,0,26.0,0
1285,3,0,32.5,0,0,9.5,0
475,2,1,26.0,1,1,26.0,0
294,1,0,49.0,1,1,110.8833,0
158,1,0,55.0,0,0,50.0,0
770,3,0,36.0,0,0,7.25,0
1126,3,1,28.0,0,0,7.8958,0
1114,3,0,21.0,0,0,7.0,0
1160,3,0,50.0,0,0,8.05,0
619,3,0,18.0,0,0,8.3,0
712,3,0,24.0,0,0,8.05,0
715,3,0,29.0,0,0,8.05,0
246,1,0,55.0,1,0,59.4,0
687,3,1,20.0,0,0,7.8542,0
925,3,0,44.0,0,0,8.05,0
752,3,0,24.0,2,0,24.15,0
505,2,0,48.0,0,0,13.0,0
332,2,0,23.0,0,0,10.5,0
89,1,0,31.0,1,0,52.0,0
914,3,0,33.0,0,0,7.8542,0
1207,3,0,10.0,3,2,27.9,0
1151,3,1,50.0,0,0,14.5,0
579,2,0,23.0,1,0,10.5,0
157,1,0,55.0,0,0,51.8625,0
363,2,0,19.0,0,0,0.0,0
707,3,0,28.0,0,0,7.7958,0
497,2,0,40.0,0,0,16.0,0
1146,3,1,39.0,0,5,29125.0,0
888,3,0,34.0,0,0,6.4958,0
992,3,1,30.5,0,0,7.75,0
1046,3,0,22.0,0,0,7.8958,0
638,3,0,35.0,0,0,7.05,0
992,3,1,30.5,0,0,7.75,0
822,3,0,41.0,0,0,7.85,0
832,3,1,43.0,1,6,46.9,0
1046,3,0,22.0,0,0,7.8958,0
1191,3,0,20.0,0,0,8.05,0
782,3,0,65.0,0,0,7.75,0
961,3,1,36.0,1,0,15.5,0
908,3,1,21.0,1,0,9825.0,0
236,1,0,22.0,0,0,135.6333,0
276,1,0,57.0,1,0,146.5208,0
1139,3,0,38.0,0,0,7.8958,0
1107,3,0,21.0,0,0,8.6625,0
1013,3,1,55.5,0,0,8.05,0
1197,3,0,22.0,0,0,15.1,0
369,2,1,29.0,1,0,26.0,0
105,1,1,36.0,0,0,31.6792,0
704,3,0,21.0,0,0,8.05,0
241,1,0,33.0,0,0,50.0,0
925,3,0,44.0,0,0,8.05,0
53,1,0,17.0,0,0,47.1,0
172,1,0,50.0,0,0,26.0,0
950,3,0,29.0,0,0,9.4833,0
809,3,0,18.0,2,2,34375.0,0
713,3,0,21.0,0,0,7.7333,0
232,1,0,47.0,0,0,52.0,0
189,1,0,29.0,0,0,30.0,0
925,3,0,44.0,0,0,8.05,0
345,2,0,23.0,0,0,13.0,0
973,3,0,30.0,0,0,7.55,0
1242,3,0,16.0,0,0,6.4375,0
961,3,1,36.0,1,0,15.5,0
683,3,0,40.0,1,1,15.5,0
516,2,0,36.5,0,2,26.0,0
971,3,0,28.0,0,0,7.8792,0
1097,3,0,6.0,3,1,21075.0,0
1299,3,0,27.0,1,0,14.4542,0
138,1,0,38.0,0,1,153.4625,0
964,3,0,39.0,0,0,24.15,0
864,3,1,28.0,0,0,7775.0,0
716,3,0,26.0,1,0,14.4542,0
175,1,0,41.0,1,0,51.8625,0
937,3,1,1.0,1,1,12.1833,0
75,1,0,47.0,0,0,25.5875,0
390,2,0,17.0,0,0,73.5,0
838,3,0,28.0,2,0,7925.0,0
461,2,0,47.0,0,0,15.0,0
1108,3,0,19.0,0,0,14.5,0
2,1,1,2.0,1,2,151.55,0
1167,3,0,38.5,0,0,7.7292,0
864,3,1,28.0,0,0,7775.0,0
901,3,1,23.0,1,2,23.45,0
601,3,0,13.0,0,2,20.25,0
1230,3,1,2.0,0,1,10.4625,0
194,1,0,30.0,0,0,26.0,0
221,1,0,65.0,0,1,61.9792,0
1273,3,1,18.0,2,0,18.0,0
1147,3,1,22.0,0,0,39.6875,0
487,2,0,61.0,0,0,12.35,0
885,3,0,17.0,1,0,7.0542,0
497,2,0,40.0,0,0,16.0,0
518,2,0,19.0,1,1,36.75,0
535,2,0,43.0,0,1,21.0,0
975,3,1,26.0,1,0,16.1,0
156,1,0,42.0,0,0,42.5,0
680,3,0,40.0,0,0,7225.0,0
779,3,1,24.0,0,0,7.75,0
148,1,0,45.0,1,0,83475.0,0
987,3,1,29.0,0,0,7.8792,0
1203,3,0,40.0,0,0,7.8958,0
965,3,0,24.0,0,0,9.5,0
1273,3,1,18.0,2,0,18.0,0
1237,3,0,24.0,0,0,7.7958,0
837,3,0,37.0,2,0,7925.0,0
1160,3,0,50.0,0,0,8.05,0
969,3,1,30.0,1,0,15.55,0
60,1,0,36.0,1,0,78.85,0
505,2,0,48.0,0,0,13.0,0
1059,3,0,28.0,0,0,8.05,0
748,3,0,34.0,1,1,14.4,0
158,1,0,55.0,0,0,50.0,0
279,1,0,62.0,0,0,26.55,0
19,1,0,36.0,0,0,75.2417,0
1269,3,0,33.0,0,0,9.5,0
241,1,0,33.0,0,0,50.0,0
246,1,0,55.0,1,0,59.4,0
784,3,0,23.0,1,0,13.9,0
194,1,0,30.0,0,0,26.0,0
366,2,0,54.0,1,0,26.0,0
728,3,0,43.0,0,0,8.05,0
773,3,0,42.0,0,0,8.6625,0
748,3,0,34.0,1,1,14.4,0
497,2,0,40.0,0,0,16.0,0
334,2,0,28.0,0,0,10.5,0
859,3,1,18.0,0,0,6.75,0
700,3,0,17.0,0,0,8.6625,0
849,3,0,26.0,1,0,7.8542,0
672,3,0,20.0,0,0,7.2292,0
682,3,1,40.0,0,2,7.75,0
1145,3,0,8.0,4,1,29125.0,0
1118,3,0,25.0,0,0,7925.0,0
1103,3,0,2.0,4,1,39.6875,0
53,1,0,17.0,0,0,47.1,0
269,1,0,18.0,0,0,26.0,0
147,1,0,45.0,0,0,42.4,0
25,1,0,25.0,0,0,26.0,0
391,2,0,29.0,1,0,27.7208,0
855,3,0,11.0,0,0,18.7875,0
975,3,1,26.0,1,0,16.1,0
731,3,0,19.0,0,0,7.8958,0
110,1,0,30.0,0,0,27.75,0
769,3,0,22.0,0,0,7.25,0
53,1,0,17.0,0,0,47.1,0
456,2,1,60.0,1,0,26.0,0
822,3,0,41.0,0,0,7.85,0
802,3,0,26.0,0,0,6.95,0
156,1,0,42.0,0,0,42.5,0
158,1,0,55.0,0,0,50.0,0
323,2,0,30.0,1,0,24.0,0
475,2,1,26.0,1,1,26.0,0
226,1,0,29.0,1,0,66.6,0
650,3,1,17.0,0,0,14.4583,0
627,3,1,9.0,4,2,31275.0,0
364,2,0,19.0,0,0,13.0,0
767,3,0,22.0,0,0,7.8958,0
749,3,1,28.0,1,1,14.4,0
374,2,0,29.0,0,0,10.5,0
519,2,0,28.0,0,0,13.5,0
815,3,0,16.0,0,0,14.5,0
1276,3,1,31.0,1,0,18.0,0
142,1,0,46.0,0,0,79.2,0
1084,3,0,42.0,0,1,8.4042,0
842,3,0,28.0,1,0,19.9667,0
731,3,0,19.0,0,0,7.8958,0
1263,3,0,11.5,1,1,14.5,0
404,2,0,21.0,0,0,13.0,0
345,2,0,23.0,0,0,13.0,0
1118,3,0,25.0,0,0,7925.0,0
642,3,0,13.0,4,2,31.3875,0
1231,3,1,29.0,1,1,10.4625,0
637,3,0,24.0,0,0,7775.0,0
197,1,0,19.0,1,0,53.1,0
244,1,0,36.0,0,0,40125.0,0
769,3,0,22.0,0,0,7.25,0
1183,3,0,39.0,0,0,7925.0,0
276,1,0,57.0,1,0,146.5208,0
1011,3,1,19.0,1,0,16.1,0
234,1,0,38.0,0,0,0.0,0
226,1,0,29.0,1,0,66.6,0
836,3,0,20.0,0,0,9.8458,0
498,2,0,32.0,0,0,13.5,0
861,3,1,23.0,0,0,7925.0,0
840,3,1,24.0,0,0,8.85,0
617,3,0,25.0,0,0,7.05,0
736,3,0,59.0,0,0,7.25,0
301,1,0,47.0,0,0,34.0208,0
569,2,0,14.0,0,0,65.0,0
194,1,0,30.0,0,0,26.0,0
300,1,0,61.0,0,0,33.5,0
1075,3,0,23.0,0,0,9225.0,0
1298,3,0,36.0,0,0,9.5,0
1051,3,0,33.0,0,0,8.05,0
1274,3,0,31.0,3,0,18.0,0
1019,3,0,24.0,0,0,7.8958,0
126,1,0,37.0,1,0,53.1,0
464,2,0,32.0,0,0,10.5,0
239,1,0,31.0,0,0,50.4958,0
685,3,0,21.0,0,0,16.1,0
729,3,0,35.0,0,0,7.8958,0
504,2,0,39.0,0,0,13.0,0
266,1,0,56.0,0,0,26.55,0
1229,3,0,27.0,0,0,8.6625,0
599,2,1,24.0,0,0,13.0,0
774,3,0,43.0,0,0,7.8958,0
1192,3,0,24.5,0,0,8.05,0
655,3,0,32.0,1,0,15.85,0
908,3,1,21.0,1,0,9825.0,0
578,2,0,30.0,1,0,21.0,0
101,1,0,39.0,0,0,29.7,0
173,1,0,32.5,0,0,211.5,0
861,3,1,23.0,0,0,7925.0,0
347,2,0,42.0,0,0,13.0,0
954,3,0,32.0,3,1,25.4667,0
1100,3,1,29.0,0,4,21075.0,0
1209,3,1,2.0,3,2,27.9,0
19,1,0,36.0,0,0,75.2417,0
34,1,0,42.0,0,0,26.55,0
901,3,1,23.0,1,2,23.45,0
662,3,0,40.0,0,0,7225.0,0
1281,3,0,22.0,0,0,9.0,0
382,2,1,21.0,0,0,21.0,0
626,3,1,38.0,4,2,7775.0,0
688,3,0,29.0,1,0,7.0458,0
723,3,0,31.0,0,0,7.7333,0
463,2,0,22.0,2,0,31.5,0
1251,3,0,30.5,0,0,8.05,0
301,1,0,47.0,0,0,34.0208,0
834,3,0,32.0,0,0,8.3625,0
232,1,0,47.0,0,0,52.0,0
